Doctor ID,First Name,Last Name,Specialization,Phone,Email,Availability,Location
1,Kristin,Knight,Cardiologist,372.859.3918x18957,vaughanphilip@example.net,8 AM - 4 PM,New York
2,Bryan,Ellis,Neurologist,463.723.1553x53216,gwhite@example.org,10 AM - 6 PM,Los Angeles
3,Anthony,Williams,Oncologist,001-396-759-8623x372,betty18@example.org,10 AM - 6 PM,Dallas
4,Sabrina,Sawyer,Oncologist,+1-878-322-8953x5038,qmann@example.org,9 AM - 5 PM,Miami
5,Teresa,Love,Pediatrician,+1-919-444-4157x043,jbrown@example.com,8 AM - 4 PM,Los Angeles
6,Omar,Walsh,Orthopedist,954-672-6547x582,tinaalexander@example.net,9 AM - 5 PM,Miami
7,David,Ruiz,Cardiologist,001-761-758-0578x14803,joserose@example.org,9 AM - 5 PM,Miami
8,Michael,Bell,Orthopedist,+1-401-545-7837x544,beckypeck@example.com,9 AM - 5 PM,Chicago
9,Cody,Collier,Pediatrician,857.345.1805,gibbsmichael@example.org,10 AM - 6 PM,San Francisco
10,Rebekah,Martinez,General Practitioner,001-875-880-8056x3308,dhansen@example.org,9 AM - 5 PM,Dallas
11,Chris,Medina,Orthopedist,+1-600-288-4468,david79@example.net,10 AM - 6 PM,Houston
12,Christina,Morris,Cardiologist,+1-444-419-1126,smithyolanda@example.com,10 AM - 6 PM,Chicago
13,Natasha,Johnson,Pediatrician,(825)581-9441,jonathan25@example.org,10 AM - 6 PM,Chicago
14,Barbara,Mack,Orthopedist,(750)411-7170x01828,hbrooks@example.com,10 AM - 6 PM,Dallas
15,Sharon,Murray,Orthopedist,+1-687-630-1404,gabrielle38@example.net,9 AM - 5 PM,Los Angeles
16,Yolanda,Nelson,General Practitioner,938-635-7533x10795,brookemiller@example.com,8 AM - 4 PM,Houston
17,Wanda,Yang,Pediatrician,8672619831,krobinson@example.net,10 AM - 6 PM,Chicago
18,Lori,Dunn,Cardiologist,001-840-637-5527x54502,theresa35@example.com,10 AM - 6 PM,Los Angeles
19,Felicia,Burgess,Neurologist,761-653-9889x420,abigailalexander@example.net,10 AM - 6 PM,San Francisco
20,Devin,Washington,Cardiologist,214-415-9708,melissa39@example.net,9 AM - 5 PM,Dallas
21,Sheri,Griffin,Cardiologist,(297)428-9965x27104,michaelcase@example.net,10 AM - 6 PM,Miami
22,Tonya,Hull,General Practitioner,501.271.0971,jamesjackson@example.org,10 AM - 6 PM,San Francisco
23,Jennifer,Mcbride,Orthopedist,+1-531-733-4140x1631,jensenterri@example.org,9 AM - 5 PM,San Francisco
24,Lindsay,Yang,Neurologist,+1-381-437-3220,brookehartman@example.net,10 AM - 6 PM,Dallas
25,Catherine,Callahan,Pediatrician,(677)798-7218,kinggina@example.org,9 AM - 5 PM,Houston
26,Casey,Rush,Oncologist,001-677-923-3821x5106,ccampbell@example.org,9 AM - 5 PM,Dallas
27,Jennifer,Wall,Cardiologist,+1-996-330-2461x2187,chad53@example.net,10 AM - 6 PM,Houston
28,Jennifer,Anthony,Neurologist,390.928.8768,kevinmorrow@example.net,9 AM - 5 PM,New York
29,Amy,Robbins,General Practitioner,+1-286-856-1694x266,alan35@example.org,8 AM - 4 PM,Chicago
30,Mark,Wright,Orthopedist,817.272.3428,melindawalker@example.org,8 AM - 4 PM,Los Angeles
31,Keith,Moreno,Neurologist,001-564-243-0129x8651,stephanie31@example.net,9 AM - 5 PM,Dallas
32,David,Rodgers,Pediatrician,(325)738-6443x86523,matthewlynch@example.net,10 AM - 6 PM,Dallas
33,Debbie,Allen,Oncologist,001-479-635-1256x3255,vspencer@example.net,10 AM - 6 PM,Miami
34,Sheila,Velazquez,Orthopedist,308.231.2479x481,ncampbell@example.org,9 AM - 5 PM,Houston
35,Michael,Martin,Cardiologist,313.973.3355x79096,ericthomas@example.com,8 AM - 4 PM,New York
36,Benjamin,Goodman,Cardiologist,+1-725-755-1495x3012,matthewskeith@example.net,9 AM - 5 PM,Chicago
37,Chase,Torres,Cardiologist,(539)901-1714x30615,william72@example.org,10 AM - 6 PM,Dallas
38,Robert,Malone,General Practitioner,3419499893,ztaylor@example.net,8 AM - 4 PM,Miami
39,Austin,Thompson,Orthopedist,8008557420,marysullivan@example.org,8 AM - 4 PM,Los Angeles
40,Kelly,Garrison,Neurologist,001-225-686-6010x80687,hdudley@example.com,9 AM - 5 PM,Houston
41,Brittany,Fisher,Oncologist,885-374-1211x45456,santiagotricia@example.com,10 AM - 6 PM,Dallas
42,Bruce,Contreras,Orthopedist,744.942.7210x704,kimberlyfarrell@example.net,9 AM - 5 PM,Miami
43,Brianna,Brown,Pediatrician,+1-882-208-5256x16140,speterson@example.org,8 AM - 4 PM,Chicago
44,Kristen,Bailey,General Practitioner,+1-832-995-9853,udowns@example.com,10 AM - 6 PM,San Francisco
45,Deborah,Alvarez,Orthopedist,+1-360-961-1354x88586,owenjames@example.net,10 AM - 6 PM,Houston
46,Jennifer,Owens,Orthopedist,+1-550-972-8477x78699,ywalker@example.com,10 AM - 6 PM,Chicago
47,Zachary,Hall,General Practitioner,(938)665-5399x57952,brettyork@example.com,8 AM - 4 PM,Los Angeles
48,Paige,Walker,Oncologist,(609)807-6280,tjohnson@example.org,9 AM - 5 PM,Houston
49,Barry,Warren,Pediatrician,833-608-7330,christine08@example.net,9 AM - 5 PM,San Francisco
50,Melissa,Williams,Oncologist,(963)762-9481,lauragraves@example.com,10 AM - 6 PM,San Francisco
